#ARTIST:Conan Gray
#TITLE:Yours
#CREATOR:Fenyesyes
#BPM:259
#YEAR:2022
#VIDEO:v=74NhLkjIeMs
#LANGUAGE:English
#GAP:13845,444015444016
#ALLKARAOKE_ID:conan-gray-yours
#ALLKARAOKE_SID:6361
#ALLKARAOKE_LASTUPDATE:2026-09-17T02:44:50.771Z
#ALLKARAOKE_ARTISTORIGIN:US
#ALLKARAOKE_REALBPM:130
#ALLKARAOKE_VOLUME:1
#ALLKARAOKE_DURATION:201
#MP3:Conan Gray - Yours.mp3
#COVER:Conan Gray - Yours [CO].jpg
#BACKGROUND:Conan Gray - Yours [BG].jpg
: 1829 3 9 al
: 1833 3 9 rea
: 1837 3 9 dy 
: 1841 3 13 know 
: 1845 3 13 that 
: 1849 3 13 I’m 
: 1853 3 13 the 
: 1857 3 14 love 
: 1861 3 14 of 
: 1865 3 14 your 
: 1869 11 16 life
- 1880
: 1885 3 16 Like 
: 1889 3 11 you 
: 1893 3 11 al
: 1897 3 11 rea
: 1901 3 11 dy 
: 1905 3 13 know 
: 1909 3 13 you’re 
: 1913 3 13 ne
: 1917 3 13 ver 
: 1921 3 14 say
: 1925 3 14 ing 
: 1929 3 14 good
: 1933 11 16 bye
: 1945 7 14 ~
: 1953 15 13 ~
- 1968 1980
- 1980
: 1997 3 9 But 
: 2001 7 18 I’m 
: 2009 7 18 not 
: 2017 19 18 you
: 2037 3 16 ~
: 2041 3 14 ~
: 2045 17 11 ~rs
- 2062
: 2065 7 9 I’m 
: 2073 7 9 not 
: 2081 19 19 you
: 2101 3 18 ~
: 2105 3 19 ~
: 2109 17 18 ~rs,
- 2126
: 2129 7 9 I’m 
: 2137 7 9 not 
* 2145 31 21 you
* 2177 23 19 ~
* 2201 3 18 ~
* 2205 3 16 ~
* 2209 31 14 ~rs
- 2240
: 2257 7 18 I 
: 2265 7 18 want 
: 2273 19 18 mo
: 2293 3 16 ~
: 2297 3 14 ~
: 2301 17 11 ~re
- 2318
: 2321 7 9 I 
: 2329 7 9 want 
: 2337 19 19 mo
: 2357 3 18 ~
: 2361 3 19 ~
: 2365 17 18 ~re
- 2382
: 2385 7 9 I’m 
: 2393 7 9 not 
: 2401 31 21 you
: 2433 23 19 ~
: 2457 3 18 ~
: 2461 3 16 ~
: 2465 31 14 ~rs
- 2496
: 2513 7 14 And 
: 2521 7 13 I 
: 2529 27 11 can’t 
: 2557 15 18 change 
: 2573 7 11 your 
: 2581 20 9 mind
- 2601
: 2613 3 9 I 
: 2617 3 21 shoul
: 2621 3 18 d’ve 
: 2625 3 21 known 
: 2629 7 18 that 
: 2637 7 16 it 
: 2645 7 14 was 
: 2653 15 18 dumb 
: 2669 13 18 love
- 2682
: 2685 7 18 Fif
: 2693 7 18 teen 
: 2701 7 21 do
: 2709 7 23 zen 
: 2717 7 16 ro
: 2725 11 16 ses
- 2736
: 2745 7 19 All 
: 2753 7 18 the 
: 2761 7 14 things 
: 2769 7 16 that 
: 2777 11 18 I’ve 
: 2789 11 18 done
- 2800
: 2805 7 18 For 
: 2813 7 18 you 
: 2821 7 21 not 
: 2829 7 23 to 
: 2837 11 16 no
: 2849 11 16 tice
- 2860
: 2865 7 19 Can’t 
: 2873 7 18 be
: 2881 7 14 lieve 
: 2889 7 16 I 
: 2897 11 18 chose 
: 2909 11 18 you
- 2920
: 2925 7 18 O
: 2933 7 18 ver 
: 2941 7 21 all 
