#ARTIST:Sido
#TITLE:Schlechtes Vorbild
#CREATOR:TrollZor
#BPM:388
#YEAR:2006
#VIDEO:v=9jjvlT78pU4
#LANGUAGE:German
#GAP:-22,917525773195962
#ALLKARAOKE_ID:sido-schlechtes-vorbild
#ALLKARAOKE_SID:3950
#ALLKARAOKE_LASTUPDATE:2025-01-19T00:12:29.353Z
#ALLKARAOKE_ARTISTORIGIN:DE
#ALLKARAOKE_REALBPM:97
#ALLKARAOKE_VOLUME:0,88
#ALLKARAOKE_OLDVOLUME:0,76
#MP3:Sido - Schlechtes Vorbild.mp3
#COVER:Sido - Schlechtes Vorbild [CO].jpg
#BACKGROUND:Sido - Schlechtes Vorbild [BG].jpg
R 1211 5 0 hab 
R 1219 5 0 Geld, 
R 1227 5 0 hab 
R 1235 5 0 Frauen, 
R 1243 5 0 hab 
R 1251 5 0 Spaß 
R 1259 5 0 und 
R 1267 5 0 du 
R 1275 5 0 musst 
R 1283 3 0 im
R 1287 3 0 mer 
R 1291 5 0 noch 
R 1299 5 0 Bahn 
R 1307 5 0 fahren
- 1312
R 1323 5 0 Ich 
R 1331 5 0 bin 
R 1339 5 0 ein 
R 1347 5 0 schlech
R 1355 5 0 tes 
R 1363 5 0 Vor
R 1371 5 0 bild
- 1376
R 1387 5 0 Na 
R 1395 5 0 und 
R 1403 5 0 wer 
R 1411 5 0 sagt 
R 1419 5 0 was 
R 1427 5 0 schlecht 
R 1435 5 0 ist?
- 1440
R 1451 5 0 Ich 
R 1459 5 0 pas
R 1467 5 0 se 
R 1475 5 0 nicht 
R 1483 5 0 in 
R 1491 5 0 dein 
R 1499 5 0 Kon
R 1507 5 0 zept,
- 1512
R 1515 5 0 E
R 1523 5 0 gal 
R 1531 5 0 mir 
R 1539 5 0 geht 
R 1547 5 0 es 
R 1555 5 0 präch
R 1563 5 0 tig,
- 1568
R 1579 5 0 Pass 
R 1587 5 0 doch 
R 1595 5 0 auf, 
R 1612 5 0 hör 
R 1620 5 0 mir 
R 1628 5 0 zu, 
R 1643 5 0 mach's 
R 1651 5 0 mir 
R 1659 5 0 nach
- 1664
F 1675 3 0 (Mach's 
F 1679 3 0 mir 
F 1683 3 0 nach 
F 1687 3 0 du 
F 1691 3 0 Spin
F 1695 3 0 ner!)
- 1698
R 1707 5 0 Ich 
R 1715 5 0 bleib 
R 1723 5 0 so 
R 1731 5 0 wie 
R 1739 5 0 ich 
R 1747 5 0 bin 
R 1755 5 0 e
R 1763 5 0 gal 
R 1771 5 0 was 
R 1779 5 0 ihr 
R 1787 5 0 sagt
- 1792 1797
- 1797
R 1823 3 0 Mein 
R 1827 3 0 Kör
R 1831 3 0 per 
R 1835 3 0 ist 
R 1839 3 0 ei
R 1843 3 0 ne 
R 1847 3 0 Ru
R 1851 3 0 i
R 1855 3 0 ne, 
R 1863 3 0 denn 
R 1867 3 0 ich 
R 1871 3 0 nehm 
R 1875 3 0 vie
R 1879 3 0 le 
R 1883 3 0 Dro
R 1887 3 0 gen
- 1890
R 1892 3 0 Im
R 1896 3 0 mer 
R 1900 3 0 wenn 
R 1904 3 0 ich 
R 1908 6 0 high 
R 1915 4 0 bin 
R 1920 3 0 mu
R 1924 3 0 tie
R 1928 3 0 re 
R 1932 3 0 ich 
R 1936 3 0 zum 
R 1940 3 0 Phi
R 1944 3 0 lo
R 1948 3 0 so
R 1952 3 0 phen
- 1955
R 1961 3 0 Die 
R 1965 3 0 Welt 
R 1969 3 0 ist 
R 1973 5 0 klein, 
R 1984 3 0 denn 
R 1988 3 0 ich 
R 1992 3 0 be
R 1996 3 0 trach
R 2000 3 0 te 
R 2004 3 0 sie 
R 2008 3 0 von 
R 2012 3 0 o
R 2016 1 0 ben
- 2017
R 2018 3 0 Ich 
R 2022 3 0 bin 
R 2026 3 0 un
R 2030 3 0 er
R 2034 3 0 zo
R 2038 3 0 gen, 
R 2042 3 0 ab
R 2046 3 0 ge
R 2050 3 0 ho
R 2054 3 0 ben, 
R 2058 3 0 haut 
R 2062 3 0 ab 
R 2066 3 0 ihr 
R 2070 3 0 I
R 2074 3 0 dio
R 2078 3 0 ten
- 2081
R 2088 3 0 Ich 
R 2092 3 0 trin
R 2096 3 0 ke 
R 2100 3 0 wie 
R 2104 3 0 ein 
R 2108 5 0 Loch 
R 2120 3 0 doch 
R 2124 3 0 das 
R 2128 3 0 ist 
R 2132 3 0 mei
R 2136 3 0 ne 
R 2140 3 0 Sa
R 2144 3 0 che
- 2147
R 2155 3 0 Wa
R 2159 3 0 rum 
R 2163 3 0 ist 
R 2167 3 0 das 
R 2171 3 0 ein 
R 2175 3 0 Prob
R 2179 3 0 lem? 
R 2183 3 0 Weil 
R 2187 3 0 ich's 
R 2191 3 0 nicht 
R 2195 3 0 heim
R 2199 3 0 lich 
R 2203 3 0 ma
R 2207 3 0 che
- 2210
R 2219 3 0 Ich 
R 2223 3 0 bin 
R 2227 3 0 im
R 2231 3 0 mer 
R 2235 3 0 ehr
R 2239 5 0 lich 
R 2247 3 0 und 
R 2251 3 0 ja 
R 2255 3 0 ich 
R 2259 3 0 bin 
R 2263 3 0 ge
R 2267 6 0 fähr
R 2274 4 0 lich
- 2278
R 2279 3 0 Ich 
R 2283 3 0 nehm 
R 2287 3 0 den 
R 2291 3 0 La
R 2295 3 0 den 
R 2299 3 0 aus
R 2303 3 0 ei
R 2307 3 0 nan
R 2311 3 0 der 
R 2315 3 0 und 
R 2319 3 0 tu 
R 2323 3 0 so 
R 2327 3 0 als 
R 2331 6 0 wär 
R 2338 6 0 nix
- 2344
R 2347 3 0 Ich 
R 2351 3 0 hab 
R 2355 3 0 kein 
R 2359 3 0 Res
R 2363 4 0 pekt, 
R 2375 3 0 ich 
R 2379 3 0 bin 
R 2383 3 0 zu 
R 2387 3 0 kei
R 2391 3 0 nem 
R 2395 5 0 nett
- 2400
R 2407 3 0 Und 
R 2411 3 0 wenn 
R 2415 3 0 dein 
R 2419 3 0 neu
R 2423 3 0 es 
R 2427 3 0 Han
R 2431 3 0 dy 
R 2435 3 0 weg 
R 2439 3 0 ist, 
R 2443 3 0 hab 
R 2447 3 0 ich's 
R 2451 3 0 ein
R 2455 3 0 ge
R 2459 5 0 steckt
- 2464
R 2472 3 0 Ich 
R 2476 3 0 bin 
R 2480 3 0 ein 
R 2484 3 0 Rü
R 2488 3 0 pel, 
R 2492 3 0 ein 
R 2496 3 0 Rau
R 2500 3 0 di 
R 2504 3 0 und 
R 2508 3 0 ich 
R 2512 3 0 kann 
R 2516 3 0 Ner
R 2520 3 0 ven 
R 2524 3 0 sä
R 2528 3 0 gen
- 2531
R 2535 3 0 Gib 
R 2539 3 0 mir 
R 2543 3 0 'ne 
R 2547 3 0 Glo
R 2551 3 0 tze 
R 2555 3 0 und 
R 2559 3 0 'nen 
R 2563 3 0 Joint, 
R 2567 3 0 ich 
R 2571 3 0 brauch 
R 2575 3 0 nicht 
R 2579 3 0 mehr 
R 2583 3 0 zum 
R 2587 3 0 le
R 2591 3 0 ben
- 2594
R 2600 3 0 Man 
R 2604 3 0 sucht 
R 2608 3 0 mein 
R 2612 3 0 Herz 
R 2616 3 0 ver
R 2620 3 0 ge
R 2624 3 0 bens, 
R 2636 3 0 ich 
R 2640 3 0 kann 
R 2644 3 0 kei
R 2648 3 0 nem 
R 2652 5 0 trauen
