#ARTIST:Diana King
#TITLE:Shy Guy
#CREATOR:RetroGirl
#BPM:376,17
#YEAR:1994
#VIDEO:v=szjaHbjhauk
#GENRE:Soundtrack
#LANGUAGE:English
#GAP:1893,1102958768643
#ALLKARAOKE_ID:diana-king-shy-guy
#ALLKARAOKE_SID:5046
#ALLKARAOKE_LASTUPDATE:2025-08-27T00:13:15.569Z
#ALLKARAOKE_ARTISTORIGIN:JM
#ALLKARAOKE_REALBPM:27
#ALLKARAOKE_SOURCEURL:Diana King - Shy Guy
#ALLKARAOKE_VOLUME:0,5
#MP3:Diana King - Shy Guy.mp3
: 1647 5 2 par
: 1655 6 2 ty
- 1661
: 1666 3 4 Di 
: 1671 2 4 o
: 1674 3 4 le 
: 1678 3 2 dem 
: 1687 2 2 se
: 1695 2 2 xy, 
: 1699 3 2 se
: 1707 1 2 xy, 
: 1711 2 2 se
: 1719 4 2 xy
- 1723
: 1727 3 4 Watch 
: 1734 3 4 dem 
: 1742 2 4 just 
: 1746 2 2 a 
: 1751 1 2 fol
: 1754 2 2 low 
: 1758 2 2 me, 
: 1763 2 2 fol
: 1767 2 2 low 
: 1771 2 2 me, 
: 1775 2 2 fol
: 1779 2 2 low 
: 1783 12 2 me
- 1795
: 1807 1 2 Have 
: 1815 2 2 mer
: 1823 1 2 cy, 
: 1827 2 2 mer
: 1835 2 2 cy, 
: 1839 2 2 mer
: 1847 1 7 cy
: 1849 4 9 ~
- 1853
: 1859 2 4 But 
: 1863 2 4 none 
: 1867 2 4 a 
: 1870 2 4 dem 
: 1875 2 2 no 
: 1879 6 2 move 
: 1887 2 2 me, 
: 1891 4 2 move 
: 1898 2 2 me, 
: 1902 6 2 move 
: 1911 4 2 me
- 1915
: 1918 2 2 Shy
: 1921 4 4 ~ 
: 1926 4 4 guy 
: 1931 2 4 a 
: 1934 2 4 weh 
: 1939 2 2 me 
: 1943 4 2 wan
: 1951 2 2 ty, 
: 1955 4 2 wan
: 1963 2 2 ty, 
: 1966 6 2 wan
: 1975 4 2 ty
- 1979
: 1983 2 4 On
: 1987 4 4 ly 
: 1992 2 4 him 
: 1996 2 4 can 
: 1999 2 4 make 
: 2003 2 2 me 
: 2008 5 2 i
: 2015 2 2 rie, 
: 2019 5 2 i
: 2027 2 2 rie, 
: 2031 4 2 i
: 2038 14 2 rie
- 2052
: 2070 2 11 Rough
: 2078 3 -1 neck 
: 2086 3 -1 man 
: 2094 2 -1 me 
: 2099 2 -1 no 
: 2103 6 -1 want 
: 2111 2 1 none 
: 2115 2 2 a 
: 2120 2 1 de
: 2123 3 2 ~m
- 2126
: 2135 3 11 Beat 
: 2143 1 -1 up 
: 2147 2 -1 me 
: 2150 3 -1 bo
: 2155 3 -1 dy 
: 2159 2 -1 lick 
: 2165 3 -1 off 
: 2171 2 1 me 
: 2175 3 2 head 
: 2183 1 1 to
: 2185 3 2 ~p
- 2188
: 2191 2 6 Me 
: 2195 4 6 no 
: 2201 1 4 wa
: 2203 1 5 ~
: 2205 3 6 ~nt 
: 2212 1 6 no
: 2214 2 4 ~ne 
: 2219 1 2 a 
: 2224 2 2 da
: 2227 5 4 ~
: 2233 1 2 ~
: 2235 4 -1 ~t
- 2239
: 2254 3 6 Me 
: 2259 3 6 no 
: 2264 1 4 wa
: 2266 1 5 ~
: 2268 3 6 ~nt 
: 2275 1 6 no
: 2277 2 4 ~ne 
: 2281 3 2 a 
: 2287 1 2 da
: 2289 5 4 ~
: 2295 3 2 ~
: 2299 3 -1 ~
: 2303 5 -3 ~
: 2309 2 -1 ~t
- 2311
: 2327 2 11 Big 
: 2334 3 -1 things 
: 2339 3 -1 a 
: 2344 2 -1 gwaan 
: 2348 2 -1 fi 
: 2351 2 -1 all 
: 2355 2 -1 di 
: 2360 4 -1 shy 
: 2367 1 1 ma
: 2369 1 2 ~n 
: 2374 2 1 de
: 2377 5 2 ~m
- 2382
: 2390 3 11 Wat 
: 2395 2 -1 to 
: 2399 2 -1 be 
: 2402 2 -1 my 
: 2407 2 -1 lo
: 2410 2 -1 ver 
: 2413 4 -1 and 
: 2419 1 -1 me 
: 2422 3 -1 wat 
: 2427 2 -1 to 
: 2430 2 1 be 
: 2434 2 2 my 
: 2439 5 2 friend
- 2444
: 2447 2 6 Till 
: 2451 2 6 the 
: 2457 1 4 ve
: 2459 1 5 ~
: 2461 4 6 ~
: 2469 1 6 ry
: 2471 2 4 ~
: 2474 5 2 ~ 
: 2480 1 2 e
: 2482 1 3 ~
: 2484 5 4 ~
: 2490 2 -1 ~nd
- 2492
: 2512 2 6 Till 
: 2516 2 6 the 
: 2520 2 4 ve
: 2523 6 6 ~
: 2532 2 6 ry
: 2535 1 7 ~
: 2537 6 9 ~ 
: 2544 2 6 e
: 2547 11 4 ~nd
- 2558
: 2573 4 6 But 
: 2578 3 6 I
: 2582 1 7 ~
: 2584 5 9 ~ 
: 2591 4 9 don’t 
: 2599 3 9 want 
: 2607 4 14 some
: 2615 1 14 bo
: 2617 6 13 ~
: 2624 2 11 ~
: 2628 7 9 dy
- 2635
: 2638 3 6 Who’s 
: 2647 1 6 lo
: 2649 1 7 ~
: 2651 2 9 ~
: 2655 6 9 ving 
: 2663 3 9 eve
: 2671 3 14 ry
: 2678 1 14 bo
: 2680 6 13 ~
: 2687 4 11 ~
: 2692 5 9 dy
- 2697
: 2700 1 6 I 
: 2702 3 6 need 
: 2706 2 7 a 
: 2711 2 7 shy
: 2714 4 9 ~ 
: 2720 2 4 guy
: 2723 4 6 ~
: 2728 3 4 ~
- 2731
: 2735 2 2 He’s 
: 2740 1 2 the 
: 2743 3 9 kin
: 2747 2 9 da 
: 2751 2 4 guy
: 2754 4 6 ~
: 2759 5 4 ~ 
: 2767 4 2 who’ll 
: 2775 4 2 on
: 2783 4 4 ly 
: 2791 1 4 be
: 2793 4 6 ~ 
: 2799 1 4 mi
: 2801 4 6 ~
: 2806 6 4 ~ne
- 2812
: 2815 1 2 Oh
: 2817 2 4 ~ 
: 2822 2 4 Lord 
: 2830 2 2 have 
: 2839 4 2 mer
: 2846 2 2 cy, 
: 2851 4 2 mer
: 2859 2 2 cy, 
: 2862 5 2 mer
: 2871 2 2 cy
- 2873
: 2876 1 4 Di 
: 2878 3 4 man 
: 2886 2 4 dem 
: 2891 2 4 in 
: 2895 1 4 a 
: 2898 2 2 di 
: 2903 5 2 par
: 2910 2 2 ty, 
: 2915 4 2 par
: 2922 2 2 ty, 
: 2926 6 2 par
: 2935 6 2 ty
- 2941
: 2947 3 4 Di 
: 2951 2 4 ole 
: 2954 3 4 a 
: 2959 2 2 dem 
: 2966 3 2 se
: 2974 2 2 xy, 
: 2979 3 2 se
: 2986 2 2 xy, 
: 2991 3 2 se
: 2999 4 2 xy
- 3003
: 3006 3 4 Watch 
: 3014 3 4 dem 
: 3022 2 4 just 
: 3026 2 2 a 
: 3031 1 2 fol
: 3034 3 2 low 
: 3038 2 2 me, 
: 3042 2 2 fol
: 3046 3 2 low 
: 3050 2 2 me, 
: 3054 3 2 fol
: 3059 2 2 low 
: 3063 11 2 me
- 3074
: 3086 2 2 Have 
: 3095 3 2 mer
: 3102 2 2 cy, 
: 3107 3 2 mer
: 3115 2 2 cy, 
: 3118 4 2 mer
: 3127 5 9 cy
- 3132
