#ARTIST:ATARASHII GAKKO!
#TITLE:OTONABLUE
#CREATOR:DeinAlptraum, HansiMcKlaus
#BPM:260
#YEAR:2020
#VIDEO:v=l446hUqQ7GY
#LANGUAGE:Japanese
#GAP:15269,23076923077
#ALLKARAOKE_ID:atarashii-gakko-otonablue
#ALLKARAOKE_LASTUPDATE:2025-03-07T00:12:01.544Z
#ALLKARAOKE_ARTISTORIGIN:JP
#ALLKARAOKE_REALBPM:130
#ALLKARAOKE_VOLUME:0,75
#MP3:ATARASHII GAKKO! - OTONABLUE.mp3
#COVER:ATARASHII GAKKO! - OTONABLUE [CO].jpg
#BACKGROUND:ATARASHII GAKKO! - OTONABLUE [BG].jpg
: 1545 3 1 ga
: 1549 3 -1 ri
: 1553 7 2 ta
: 1561 7 4 ku
: 1569 8 6 te
- 1577
: 1583 1 -1 A
: 1585 3 4 ri
: 1589 1 4 ki 
: 1591 3 4 ta
: 1595 3 7 ri
: 1599 8 6 na 
: 1609 3 7 me
: 1613 3 9 i
: 1617 6 11 ku 
: 1625 6 12 ja 
: 1633 1 11 ka
: 1635 3 9 ku
: 1639 5 11 se
: 1645 1 9 nai
- 1646
: 1649 6 4 (Down) 
: 1657 3 4 A
: 1661 3 2 ko
: 1665 1 4 ga
: 1667 3 7 re 
: 1671 5 4 da
: 1677 3 2 ke 
: 1681 6 4 (down) 
: 1689 3 7 yu
: 1693 3 4 me 
: 1697 1 7 wo 
: 1699 3 9 mi
: 1703 4 7 ru
- 1707
: 1711 1 7 A
: 1713 3 9 na
: 1717 3 7 ta 
: 1721 3 9 no 
: 1725 3 7 ma
: 1729 3 9 e 
: 1733 3 7 de 
: 1737 3 9 ma
* 1741 3 9 ta
* 1745 15 11 ~ 
* 1761 3 9 o
* 1765 3 7 to
* 1769 3 6 na 
* 1773 3 2 bu
* 1777 4 4 ru
- 1781 2014
- 2014
: 2031 1 -1 So
: 2033 3 4 no
: 2037 1 4 u
: 2039 3 4 chi 
: 2043 3 7 ja
: 2047 8 6 na
: 2057 5 4 kute 
: 2063 1 2 i
: 2065 3 2 ma 
: 2069 1 2 su
: 2071 3 2 gu 
: 2075 3 6 ga 
: 2079 9 4 ii
: 2089 5 2 no
- 2094
: 2097 3 -1 O
: 2101 1 -1 to
: 2103 5 -1 na 
: 2109 3 -1 no 
: 2113 3 -2 ko
: 2117 3 -1 i 
: 2121 3 1 ni 
: 2125 3 -1 ko
: 2129 7 2 ga
: 2137 7 4 re
: 2145 8 6 te
- 2153
: 2161 3 4 Mi
: 2165 1 4 ta
: 2167 3 4 me 
: 2171 3 7 yo
: 2175 8 6 ri
: 2185 3 7 mo 
: 2189 3 9 no
: 2193 7 11 ko
: 2201 7 12 ru 
: 2209 1 11 a
: 2211 3 9 do
: 2215 5 11 ke
: 2221 1 9 nai
- 2222
: 2225 6 4 (Down) 
: 2233 3 4 Ki
: 2237 3 2 mo
: 2241 1 4 chi 
: 2243 3 7 da
: 2247 3 4 ke 
: 2251 4 2 ga 
: 2257 6 4 (down) 
: 2265 3 7 ka
: 2269 3 4 ra
: 2273 1 7 ma
: 2275 3 9 wa
: 2279 4 7 ru
- 2283
: 2289 3 9 Wa
: 2293 3 7 ta
: 2297 3 9 shi 
: 2301 3 7 wo 
: 2305 3 9 mi
: 2309 3 7 tsu
: 2313 3 9 ke
: 2317 1 9 te
- 2318
: 2321 3 4 Ya
: 2325 1 4 sa
: 2327 3 4 shii 
: 2331 3 7 da
: 2335 8 6 ke 
: 2345 4 4 no 
: 2353 3 2 ko
: 2357 1 2 to
: 2359 3 2 ba 
: 2363 3 6 ja
: 2367 8 4 na
: 2377 4 2 kute
- 2381
: 2385 3 -1 Ko
: 2389 1 -1 ko
: 2391 5 -1 ro 
: 2397 3 -1 de 
: 2401 3 -2 tsu
: 2405 3 -1 na
: 2409 3 1 ga
: 2413 3 -1 ri
: 2417 7 2 ta
: 2425 7 4 ku
: 2433 8 6 te
- 2441
: 2447 1 -1 A
: 2449 3 4 ri
: 2453 1 4 ki
: 2455 3 4 ta
: 2459 3 7 ri
: 2463 8 6 na 
: 2473 3 7 me
: 2477 3 9 i
: 2481 6 11 ku 
: 2489 6 12 ja 
: 2497 1 11 ka
: 2499 3 9 ku
: 2503 5 11 se
: 2509 1 9 nai
- 2510
: 2513 6 4 (Down) 
: 2521 3 4 A
: 2525 3 2 ko
: 2529 1 4 ga
: 2531 3 7 re 
: 2535 5 4 da
: 2541 3 2 ke 
: 2545 6 4 (down) 
: 2553 3 7 yu
: 2557 3 4 me 
: 2561 1 7 wo 
: 2563 3 9 mi
: 2567 4 7 ru
- 2571
: 2575 1 2 Ma
: 2577 3 9 da 
: 2581 3 7 mi
: 2585 3 9 nu 
: 2589 3 7 ko
: 2593 3 9 i
: 2597 3 7 ji 
: 2601 1 9 wo
- 2602
: 2605 3 9 O
: 2609 15 11 ~
: 2625 3 9 i
: 2629 3 7 ka
: 2633 3 6 ke
: 2637 2 2 te 
: 2641 4 9 o
: 2646 10 11 ~
: 2657 3 9 i
: 2661 3 7 ka
: 2665 3 6 ke
: 2669 1 2 te
- 2670
: 2673 3 9 Ma
: 2677 11 11 ~
: 2689 3 9 ta 
: 2693 3 7 o
: 2697 3 6 to
: 2701 4 3 na 
* 2725 31 6 buruu
* 2757 28 4 ~
E
