#ARTIST:Hozier
#TITLE:Too Sweet
#CREATOR:DoubleDee
#BPM:234
#YEAR:2024
#VIDEO:v=NTpbbQUBbuo
#LANGUAGE:English
#GAP:18334,358974358973
#ALLKARAOKE_ID:hozier-too-sweet
#ALLKARAOKE_SID:1947
#ALLKARAOKE_LASTUPDATE:2024-08-07T20:58:27.236Z
#ALLKARAOKE_ARTISTORIGIN:IE
#ALLKARAOKE_REALBPM:122
#ALLKARAOKE_VOLUME:0,52
#ALLKARAOKE_OLDVOLUME:0,79
#MP3:Hozier - Too Sweet.mp3
#COVER:Hozier - Too Sweet [CO].jpg
#BACKGROUND:Hozier - Too Sweet [BG].jpg
: 1631 3 2 ~ 
: 1636 3 0 from 
: 1640 2 -2 the 
: 1644 7 -2 phone
: 1652 2 -5 ~
- 1654
: 1668 2 -5 And 
: 1672 2 -2 the 
: 1676 7 0 job 
: 1684 5 2 gets 
: 1692 7 -2 done
- 1699
: 1700 2 -5 But 
: 1704 2 -2 you 
: 1708 7 0 wor
: 1716 2 0 ry
: 1719 3 2 ~ 
: 1724 7 -2 some, 
: 1732 6 0 I 
: 1740 7 0 know
- 1747
: 1748 2 0 But 
: 1752 3 2 who 
: 1756 3 0 wants 
: 1760 3 2 to 
: 1764 2 0 live 
: 1768 2 -2 for
: 1772 3 2 e
: 1776 2 -5 ver, 
: 1780 3 -5 babe
: 1784 11 -7 ~?
- 1795
: 1808 2 -2 You 
: 1812 2 0 treat 
: 1816 2 2 your 
: 1820 3 0 mouth 
: 1824 2 1 as 
: 1828 2 0 if 
: 1832 2 -2 it’s 
: 1836 2 1 Hea
: 1840 2 -5 ven’s 
: 1844 3 -5 gate
: 1848 7 -7 ~
: 1856 1 -4 ~
: 1858 2 -2 ~
- 1860
: 1872 2 0 The 
: 1876 2 0 rest 
: 1880 3 2 of 
: 1884 3 0 you 
: 1888 3 2 like 
: 1892 3 0 you’re 
: 1896 2 -2 the 
: 1900 3 2 T
: 1904 2 2 S
: 1908 3 0 A
: 1912 7 -2 ~
: 1920 2 -5 ~
- 1922 1924
- 1924
: 1940 3 -2 I 
: 1944 3 2 wish 
: 1948 3 0 I 
: 1952 3 1 could 
: 1956 3 0 go 
: 1960 3 -2 a
: 1964 2 -2 long
: 1967 9 0 ~,
- 1976
: 1980 3 3 Babe, 
: 1984 3 2 don’t 
: 1988 2 0 get 
: 1992 2 -2 me 
: 1996 3 -3 wrong
- 1999
: 2000 3 -7 You 
: 2004 3 -7 know, 
: 2008 2 -7 you’re 
: 2012 3 -7 bright 
: 2016 3 -5 as 
: 2020 3 -2 the 
* 2024 5 0 mor
* 2030 9 -2 ning,
- 2039
: 2040 2 -7 As 
: 2044 3 -7 soft 
: 2048 3 -5 as 
: 2052 3 -2 the 
: 2056 5 0 rain
- 2061
: 2072 3 -7 Pret
: 2076 3 -7 ty 
: 2080 2 -5 as 
: 2084 2 -7 a 
: 2088 5 0 vine
: 2094 8 -2 ~, 
: 2104 2 -7 as 
: 2108 2 -7 sweet 
: 2112 2 -5 as 
: 2116 2 -2 a 
: 2120 2 -2 grape
: 2123 4 0 ~
- 2127
: 2130 1 -7 If 
: 2132 3 -7 you 
: 2136 3 -7 can 
: 2140 3 -7 sit 
: 2144 2 -5 in 
: 2148 3 -2 a 
: 2152 5 0 bar
: 2158 7 -2 rel,
- 2165
: 2172 2 -7 May
: 2176 2 -5 be 
: 2180 3 -2 I’ll 
: 2184 3 -2 wai
: 2188 4 0 ~t
- 2192
: 2204 3 -7 Un
: 2208 2 -5 til 
: 2212 2 -2 that 
: 2216 5 0 day
: 2222 7 2 ~
- 2229
: 2236 2 2 I’d 
: 2240 2 1 ra
: 2243 2 0 ~
: 2246 4 -2 ther 
: 2252 7 2 take 
: 2260 3 5 my
: 2264 3 2 ~ 
: 2268 4 2 whis
: 2276 6 5 key 
: 2284 11 7 neat
: 2296 3 10 ~
: 2300 14 7 ~
- 2314
: 2320 3 5 My 
: 2324 3 7 cof
: 2328 3 10 fee 
: 2332 3 7 black
: 2336 2 5 ~ 
: 2340 3 2 and 
: 2344 2 0 my 
: 2348 10 2 bed 
: 2360 2 5 at 
: 2364 10 2 three
- 2374
: 2380 6 7 You’re 
: 2388 6 5 too 
: 2396 6 2 sweet 
: 2404 3 0 for 
: 2408 3 -2 me
: 2412 3 0 ~
: 2416 12 -2 ~
- 2428
: 2444 6 7 You’re 
: 2452 6 5 too 
: 2460 6 2 sweet 
: 2468 3 0 for
: 2472 3 -2 ~ 
: 2476 11 2 me
: 2488 3 5 ~
: 2492 7 2 ~
- 2499
: 2500 3 5 I
: 2504 2 2 ~ 
: 2508 6 2 take 
: 2516 3 5 my
: 2520 2 2 ~ 
: 2524 5 2 whis
: 2532 6 5 key 
: 2540 11 7 neat
: 2552 3 10 ~
: 2556 14 7 ~
- 2570
: 2576 3 5 My 
: 2580 3 7 cof
: 2584 3 10 fee 
: 2588 3 7 black
: 2592 2 5 ~ 
: 2596 1 2 and
: 2598 1 1 ~ 
: 2600 2 2 my 
: 2604 10 2 bed 
: 2616 2 5 at 
: 2620 2 2 three
: 2623 2 0 ~
: 2626 3 -2 ~
- 2629
: 2636 6 7 You’re 
: 2644 6 5 too 
: 2652 6 2 sweet 
: 2660 3 0 for 
: 2664 3 -2 me
: 2668 3 0 ~
: 2672 12 -2 ~
- 2684
: 2700 6 7 You’re 
: 2708 6 5 too 
: 2716 6 2 sweet 
: 2724 3 0 for
: 2728 3 -2 ~ 
: 2732 11 2 me
: 2744 3 5 ~
: 2748 11 2 ~
: 2760 3 5 ~
: 2764 7 2 ~
: 2772 3 0 ~
: 2776 3 -2 ~
- 2779 3252
- 3252
: 3268 3 5 I
: 3272 2 2 ~ 
: 3276 6 2 take 
: 3284 3 5 my
: 3288 2 2 ~ 
: 3292 5 2 whis
: 3300 6 5 key 
: 3308 11 7 neat
: 3320 3 10 ~
: 3324 14 7 ~
- 3338
: 3344 3 5 My 
: 3348 3 7 cof
: 3352 3 10 fee 
: 3356 3 7 black
: 3360 2 5 ~ 
: 3364 3 2 and 
: 3368 2 0 my 
: 3372 10 2 bed 
: 3384 2 5 at 
: 3388 9 2 three
- 3397
: 3404 6 7 You’re 
: 3412 6 5 too 
: 3420 6 2 sweet 
: 3428 3 0 for 
: 3432 3 -2 me
: 3436 3 0 ~
: 3440 12 -2 ~
- 3452
: 3468 6 7 You’re 
: 3476 6 5 too 
: 3484 6 2 sweet 
: 3492 3 0 for
: 3496 3 -2 ~ 
* 3500 11 2 me
* 3512 3 5 ~
* 3516 11 2 ~
* 3528 3 5 ~
* 3532 7 2 ~
* 3540 1 0 ~
* 3542 3 -2 ~
E
