#ARTIST:The Saturdays
#TITLE:Disco Love
#CREATOR:magigram
#BPM:245,96
#YEAR:2013
#VIDEO:v=LmncQGy_7Lk
#GENRE:Rap
#LANGUAGE:English
#GAP:11834,231582371118
#ALLKARAOKE_ID:the-saturdays-disco-love
#ALLKARAOKE_SID:5596
#ALLKARAOKE_LASTUPDATE:2026-01-24T14:46:55.320Z
#ALLKARAOKE_ARTISTORIGIN:GB
#ALLKARAOKE_REALBPM:27
#ALLKARAOKE_SOURCEURL:The Saturdays - Disco Love
#ALLKARAOKE_VOLUME:0,5
#MP3:The Saturdays - Disco Love.mp3
: 1536 3 21 More 
: 1540 5 23 Time
- 1545
: 1553 10 23 Oh 
: 1564 3 23 is 
: 1568 3 23 it 
: 1572 7 24 love 
: 1581 6 19 that’s 
: 1588 7 19 in 
: 1596 3 21 the 
: 1601 12 23 air, 
: 1640 2 23 ba
: 1644 3 24 by 
: 1649 3 23 ba
: 1653 2 21 by 
: 1657 6 19 ba
: 1665 6 16 by
- 1671
: 1680 12 23 Oh 
: 1693 2 23 feel 
: 1697 2 23 the 
: 1701 7 24 che
: 1709 5 19 mis
: 1716 6 19 try 
: 1724 7 23 in 
: 1733 8 21 he
: 1743 6 23 re, 
: 1769 2 23 ba
: 1773 2 24 by 
: 1777 2 23 ba
: 1780 2 21 by 
: 1784 6 19 ba
: 1792 6 16 by
- 1798
: 1803 1 22 Boy 
: 1806 1 22 you 
: 1809 2 22 make 
: 1813 2 22 me 
: 1816 2 22 feel 
: 1820 2 22 so 
: 1824 8 23 fine
- 1832
: 1835 1 22 Boy 
: 1838 1 22 you 
: 1841 2 22 make 
: 1845 2 22 me 
: 1848 2 22 feel 
: 1852 1 19 so 
* 1856 6 19 good
- 1862
: 1868 2 22 Boy 
: 1871 1 22 you 
: 1873 2 22 make 
: 1877 1 22 me 
: 1880 3 22 feel 
: 1884 3 22 so 
: 1889 6 23 right
- 1895
: 1896 2 23 Ba
: 1900 2 24 by 
: 1904 2 23 ba
: 1908 1 21 by 
: 1912 6 19 ba
: 1920 6 16 by
- 1926
: 1936 12 23 Oh 
: 1949 2 23 is 
: 1953 2 23 it 
: 1957 5 24 love 
: 1963 6 19 that’s 
: 1971 6 19 in 
: 1979 2 21 the 
: 1983 7 23 air, 
: 2024 2 23 ba
: 2028 2 24 by 
: 2032 3 23 ba
: 2037 2 21 by 
: 2041 6 19 ba
: 2048 4 16 by
- 2052
F 2063 5 12 Shh 
F 2070 3 12 shh 
F 2075 4 12 shh 
: 2083 8 19 shake 
: 2092 3 17 me 
: 2096 3 19 if 
: 2101 2 17 I’m 
: 2105 6 19 drea
: 2112 5 16 ming
- 2117
F 2127 5 16 Shh 
F 2135 2 16 shh 
F 2139 6 16 shh 
: 2147 7 19 shake 
: 2156 2 17 me 
: 2160 2 19 if 
: 2164 2 17 I’m 
* 2168 6 19 drea
* 2176 3 21 ming
* 2180 4 23 ~
- 2184
F 2191 7 19 Shh 
F 2199 3 19 shh 
F 2203 6 19 shh 
: 2211 7 19 shake 
: 2220 2 17 me 
: 2224 2 19 if 
: 2228 2 17 I’m 
: 2232 6 19 drea
: 2240 3 21 ming
: 2244 4 23 ~
- 2248
* 2256 3 23 Shake
* 2260 4 21 ~ 
: 2266 8 21 me, 
: 2277 6 23 ba
: 2284 2 24 by 
: 2288 2 23 ba
: 2292 2 24 by 
: 2296 7 26 ba
: 2304 5 23 by
- 2309
: 2321 10 23 Oh 
: 2333 2 23 is 
: 2337 2 23 it 
: 2341 6 24 love 
: 2349 5 19 that’s 
: 2356 6 19 in 
: 2363 1 21 the 
: 2367 7 23 air, 
: 2408 2 23 ba
: 2412 2 24 by 
: 2416 2 23 ba
: 2420 2 21 by 
: 2424 6 19 ba
: 2433 5 16 by
- 2438
: 2448 11 23 Oh 
: 2460 2 23 feel 
: 2464 2 23 the 
: 2468 6 24 che
: 2476 5 19 mis
: 2483 6 19 try 
: 2490 4 23 in 
: 2496 12 21 he
: 2510 6 23 re, 
: 2536 2 23 ba
: 2541 1 24 by 
: 2544 2 23 ba
: 2549 2 21 by 
: 2552 6 19 ba
: 2560 3 16 by
- 2563
: 2572 2 22 Boy 
: 2575 1 22 you 
: 2577 2 22 make 
: 2581 1 22 me 
: 2585 2 22 feel 
: 2588 2 22 so 
: 2591 9 23 fine
- 2600
: 2604 2 22 Boy 
: 2607 2 22 you 
: 2610 2 22 make 
: 2613 2 22 me 
: 2616 2 22 feel 
: 2620 2 19 so 
: 2624 6 19 good
- 2630
: 2637 1 22 Boy 
: 2639 2 22 you 
: 2642 2 22 make 
: 2645 2 22 me 
: 2648 3 22 feel 
: 2652 3 22 so 
: 2658 5 23 right
- 2663
: 2665 2 23 Ba
: 2669 2 24 by 
: 2673 2 23 ba
: 2676 2 21 by 
: 2680 6 19 ba
: 2688 5 16 by
- 2693
: 2704 11 23 Oh 
: 2717 1 23 is 
: 2721 2 23 it 
: 2725 5 24 love 
: 2732 5 19 that’s 
: 2740 7 19 in 
: 2748 1 21 the 
* 2751 11 23 air, 
: 2793 2 23 ba
: 2797 2 24 by 
: 2801 1 23 ba
: 2803 4 21 by 
: 2808 7 19 ba
: 2817 7 16 by
- 2824
: 2828 1 16 Come 
: 2831 2 19 on 
: 2835 1 16 come 
: 2838 5 19 on
- 2843 2844
- 2844
: 2860 1 16 Come 
: 2863 2 19 on 
: 2867 1 16 come 
* 2869 5 19 on
- 2874 2876
- 2876
: 2892 2 16 Come 
: 2895 2 19 on 
: 2899 1 16 come 
: 2901 4 19 on
- 2905
: 2921 3 23 Ba
: 2925 2 24 by 
: 2929 2 23 ba
: 2933 2 21 by 
* 2937 7 19 ba
* 2945 5 16 by
- 2950
: 2956 1 16 Come 
: 2959 2 19 on 
: 2963 1 16 come 
: 2965 5 19 on
- 2970 2973
- 2973
: 2989 1 16 Come 
: 2992 2 19 on 
: 2995 1 16 come 
: 2997 6 19 on
- 3003 3033
- 3033
: 3049 2 23 Ba
: 3053 2 24 by 
: 3057 2 23 ba
: 3061 2 21 by 
: 3065 6 19 ba
: 3073 7 16 by
E
